CampusSisKey,Campus,BuildingSisKey,BuildingName,BuildingCode,RoomSisKey,RoomName,RoomNumber,RoomType,ConfigurationSisKey,ConfigurationName,ConfigurationIsDefault,FacilityLayoutSisKey,FacilityLayoutName,Capacity,FeatureQuantity,RegionName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP141,BP141,BP141,Classroom - General Purpose Lecture,FLC_FLARMR_BP141_Standard,Standard,TRUE,Default,Default,25,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP142,BP142,BP142,Classroom - General Purpose Lecture,FLC_FLARMR_BP142_Standard,Standard,TRUE,Default,Default,25,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;FLC PHI;PHI;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP143,BP143,BP143,Classroom - General Purpose Lecture,FLC_FLARMR_BP143_Standard,Standard,TRUE,Default,Default,60,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Speakers;White Board,FLC BP;FLC NUR;NUR;FLC EMS;EMS;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP110,BP110,BP110,Lab - Computer,FLC_FLARMR_BP110_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC;Computer - Instructor;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;Non-Event Requestable;Non-Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP111,BP111,BP111,Lab - Computer,FLC_FLARMR_BP111_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC;Computer - Instructor;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;FLC ENG;ENG;Non-Event Requestable;Non-Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP112,BP112,BP112,Lab - Computer,FLC_FLARMR_BP112_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC;Computer - Instructor;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;Non-Event Requestable;Non-Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP113,BP113,BP113,Classroom - General Purpose Lecture,FLC_FLARMR_BP113_Standard,Standard,TRUE,Default,Default,24,Computer- Insturctor;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;FLC ACC;ACC;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP115,BP115,BP115,Classroom - General Purpose Lecture,FLC_FLARMR_BP115_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP116,BP116,BP116,Lab - Computer,FLC_FLARMR_BP116_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC;Computer - Instructor;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;FLC CNG;CNG;Non-Event Requestable;Non-Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP117,BP117,BP117,Lab - MGD,FLC_FLARMR_BP117_Standard,Standard,TRUE,Default,Default,18,Computer(s) - Mac;Computer - Instructor;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;Non-Event Requestable;FLC MGD;MGD;Non-Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP119,BP119,BP119,Lab - Computer,FLC_FLARMR_BP119_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC;Computer - Instructor;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;Non-Event Requestable;Non-Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP125,BP125,BP125,Classroom - General Purpose Lecture,FLC_FLARMR_BP125_Standard,Standard,TRUE,Default,Default,25,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Speakers;White Board,FLC BP;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP126,BP126,BP126,Classroom - General Purpose Lecture,FLC_FLARMR_BP126_Standard,Standard,TRUE,Default,Default,60,Computer - Instructor;LCD Overhead Projector;Screen;Phone - Star;Speakers;White Board,FLC BP;FLC NUR;NUR;FLC EMS;EMS;Event requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP127,BP127,BP127,Lab - Computer,FLC_FLARMR_BP127_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC;Computer - Instructor;LCD Overhead Projector;Screen;Phone - Star;Speakers;White Board,FLC BP;FLC BUS;BUS;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP129,BP129,BP129,Classroom - Lab,FLC_FLARMR_BP129_Standard,Standard,TRUE,Default,Default,20,Computer - Instructor;LCD Overhead Projector;Screen;Phone - Star;Speakers;White Board,FLC BP;FLC DEA;DEA;Non-Event Requestable;Non-Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP131,BP131,BP131,Classroom - General Purpose Lecture,FLC_FLARMR_BP131_Standard,Standard,TRUE,Default,Default,25,Computer - Instructor;White Board;,FLC BP;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP134,BP134,BP134,Lab - NUR,FLC_FLARMR_BP134_Standard,Standard,TRUE,Default,Default,25,Hospital Bed(s),FLC BP;FLC NUR;NUR;Non-Event Requestable;Non-Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP136,BP136,BP136,Confirm can hold events/academics,FLC_FLARMR_BP136_Standard,Standard,TRUE,Default,Default,30,,FLC BP;Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP138,BP138,BP138,Lab - NUR,FLC_FLARMR_BP138_Standard,Standard,TRUE,Default,Default,25,Hospital Bed(s),FLC BP;FLC NUR;NUR;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP141,BP141,BP141,Classroom - General Purpose Lecture,FLC_FLARMR_BP141_Standard,Standard,TRUE,Default,Default,25,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;FLC EMS;EMS;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP142,BP142,BP142,Classroom - General Purpose Lecture,FLC_FLARMR_BP142_Standard,Standard,TRUE,Default,Default,25,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;FLC PHI;PHI;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP143,BP143,BP143,Classroom - General Purpose Lecture,FLC_FLARMR_BP143_Standard,Standard,TRUE,Default,Default,60,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Speakers;White Board,FLC BP;FLC NUR;NUR;FLC EMS;EMS;Event requestable;Non-Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP152,BP152,BP152,Lab - Computer,FLC_FLARMR_BP152_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC;Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Speakers;White Board,FLC BPFLC GIS;GIS;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP158,BP158,BP158,Lab - Computer,FLC_FLARMR_BP158_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Speakers;White Board,FLC BP;FLC NRE;NRE;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP162,BP162,BP162,Lab - Computer,FLC_FLARMR_BP162_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Speakers;White Board,FLC BP;FLC VET;VET;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP168,BP168,BP168,Lab - Computer,FLC_FLARMR_BP168_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Speakers;White Board,FLC BP;FLC NRE;NRE;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP188,BP188,BP188,Classroom - General Purpose Lecture,FLC_FLARMR_BP188_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White board,FLC BP;FLC VET;VET;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_BP140,BP140,BP140,Classroom - Lab,FLC_FLARMR_BP140_Standard,Standard,TRUE,Default,Default,5,Computer - Instructor;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC BP;FLC DEA;DEA;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP107,CP107,CP107,Classroom - General Purpose Lecture,FLC_FLARMR_CP107_Standard,Standard,TRUE,Default,Default,6,Computer - Instructor;DVD Player;LCD Overhead Projector;Podium;Power Point Clicker;Screen;Phone - Star;Speakers;White Board;MicroPhone - Star - Wireless;Tiered Seating,FLC CPFLC NUR;NUR-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP120,CP120,CP120,Classroom - General Purpose Lecture,FLC_FLARMR_CP120_Standard,Standard,TRUE,Default,Default,26,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC PSY;PSY;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP121,CP121,CP121,Classroom - General Purpose Lecture,FLC_FLARMR_CP121_Standard,Standard,TRUE,Default,Default,35,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC ANT;ANT;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP122,CP122,CP122,Lab - Computer,FLC_FLARMR_CP122_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC;Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Speakers;White Board,FLC CP;FLC ENG;ENG;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP123,CP123,CP123,Lab - Computer,FLC_FLARMR_CP123_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC;Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Speakers;White Board,FLC CP;FLC ENG;ENG;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP124,CP124,CP124,Classroom - General Purpose Lecture,FLC_FLARMR_CP124_Standard,Standard,TRUE,Default,Default,26,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC SOC;SOC;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP125,CP125,CP125,Classroom - General Purpose Lecture,FLC_FLARMR_CP125_Standard,Standard,TRUE,Default,Default,25,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP COM;COM;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP126,CP126,CP126,Classroom - General Purpose Lecture,FLC_FLARMR_CP126_Standard,Standard,TRUE,Default,Default,30,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC HIS;HIS;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP127,CP127,CP127,Classroom - General Purpose Lecture,FLC_FLARMR_CP127_Standard,Standard,TRUE,Default,Default,35,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC MAT;MAT;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP128,CP128,CP128,Classroom - General Purpose Lecture,FLC_FLARMR_CP128_Standard,Standard,TRUE,Default,Default,35,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC MAT;MAT;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP129,CP129,CP129,Classroom - General Purpose Lecture,FLC_FLARMR_CP129_Standard,Standard,TRUE,Default,Default,35,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC MAT;MAT;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP221,CP221,CP221,Classroom - General Purpose Lecture,FLC_FLARMR_CP221_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP223,CP223,CP223,Classroom - General Purpose Lecture,FLC_FLARMR_CP223_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC MAT;MAT;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP224,CP224,CP224,Classroom - General Purpose Lecture,FLC_FLARMR_CP224_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC MAT;MAT;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP225,CP225,CP225,Lab - Computer,FLC_FLARMR_CP225_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC; Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Speakers;White Board,FLC CP;FLC HIS;HIS;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP228,CP228,CP228,Classroom - General Purpose Lecture,FLC_FLARMR_CP228_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC PSY;PSY;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_LBP111,LBP111,LBP111,Classroom - General Purpose Lecture,FLC_FLARMR_LBP111_Standard,Standard,TRUE,Default,Default,22,Computer - Instructor;DVD Player;LCD Overhead Projector;Podium;Power Point Clicker;Screen;Smart Board;Speakers;White Board,FLC LBP;FLC CRJ;CRJ;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_LBP112,LBP112,LBP112,Classroom - General Purpose Lecture,FLC_FLARMR_LBP112_Standard,Standard,TRUE,Default,Default,16,Computer - Instructor;DVD Player;LCD Overhead Projector;Podium;Power Point Clicker;Screen;Smart Board;Speakers;White Board,FLC LBP;FLC ASE;ASE;Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_LBP113,LBP113,LBP113,Classroom - General Purpose Lecture,FLC_FLARMR_LBP113_Standard,Standard,TRUE,Default,Default,22,Computer - Instructor;DVD Player;LCD Overhead Projector;Podium;Power Point Clicker;Screen;Smart Board;Speakers;White Board,FLC LBP;FLC ASE;ASE;Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_LBP114,LBP114,LBP114,Classroom - General Purpose Lecture,FLC_FLARMR_LBP114_Standard,Standard,TRUE,Default,Default,16,Computer - Instructor;DVD Player;LCD Overhead Projector;Podium;Power Point Clicker;Screen;Smart Board;Speakers;White Board,FLC LBP;FLC WEL;WEL;FLC ASE;ASE;Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
